Numero Esecuzione,Numero Thread,File di Input,Tempo di Esecuzione (ms),Eseguibile
1,1,data/numbers_1024.txt,166.0265,OMP_DFT_polar.exe
2,1,data/numbers_1024.txt,147.4355,OMP_DFT_polar.exe
3,1,data/numbers_1024.txt,155.6675,OMP_DFT_polar.exe
4,1,data/numbers_1024.txt,149.1028,OMP_DFT_polar.exe
5,1,data/numbers_1024.txt,151.0107,OMP_DFT_polar.exe
6,1,data/numbers_1024.txt,149.5494,OMP_DFT_polar.exe
7,1,data/numbers_1024.txt,146.4272,OMP_DFT_polar.exe
8,1,data/numbers_1024.txt,147.8248,OMP_DFT_polar.exe
9,1,data/numbers_1024.txt,144.6511,OMP_DFT_polar.exe
10,1,data/numbers_1024.txt,153.4324,OMP_DFT_polar.exe
1,1,data/numbers_1024.txt,43.6510,OMP_DFT_NOpolar.exe
2,1,data/numbers_1024.txt,43.6816,OMP_DFT_NOpolar.exe
3,1,data/numbers_1024.txt,43.7645,OMP_DFT_NOpolar.exe
4,1,data/numbers_1024.txt,43.5934,OMP_DFT_NOpolar.exe
5,1,data/numbers_1024.txt,40.0774,OMP_DFT_NOpolar.exe
6,1,data/numbers_1024.txt,42.7929,OMP_DFT_NOpolar.exe
7,1,data/numbers_1024.txt,49.0185,OMP_DFT_NOpolar.exe
8,1,data/numbers_1024.txt,40.6209,OMP_DFT_NOpolar.exe
9,1,data/numbers_1024.txt,42.3678,OMP_DFT_NOpolar.exe
10,1,data/numbers_1024.txt,41.3983,OMP_DFT_NOpolar.exe
1,2,data/numbers_1024.txt,109.2277,OMP_DFT_polar.exe
2,2,data/numbers_1024.txt,105.7224,OMP_DFT_polar.exe
3,2,data/numbers_1024.txt,122.6571,OMP_DFT_polar.exe
4,2,data/numbers_1024.txt,132.4122,OMP_DFT_polar.exe
5,2,data/numbers_1024.txt,129.4388,OMP_DFT_polar.exe
6,2,data/numbers_1024.txt,128.6305,OMP_DFT_polar.exe
7,2,data/numbers_1024.txt,124.5518,OMP_DFT_polar.exe
8,2,data/numbers_1024.txt,154.8963,OMP_DFT_polar.exe
9,2,data/numbers_1024.txt,148.6045,OMP_DFT_polar.exe
10,2,data/numbers_1024.txt,124.7414,OMP_DFT_polar.exe
1,2,data/numbers_1024.txt,53.6259,OMP_DFT_NOpolar.exe
2,2,data/numbers_1024.txt,35.8607,OMP_DFT_NOpolar.exe
3,2,data/numbers_1024.txt,35.3951,OMP_DFT_NOpolar.exe
4,2,data/numbers_1024.txt,51.7177,OMP_DFT_NOpolar.exe
5,2,data/numbers_1024.txt,63.3556,OMP_DFT_NOpolar.exe
6,2,data/numbers_1024.txt,38.5106,OMP_DFT_NOpolar.exe
7,2,data/numbers_1024.txt,33.4816,OMP_DFT_NOpolar.exe
8,2,data/numbers_1024.txt,38.8390,OMP_DFT_NOpolar.exe
9,2,data/numbers_1024.txt,47.6882,OMP_DFT_NOpolar.exe
10,2,data/numbers_1024.txt,61.8378,OMP_DFT_NOpolar.exe
1,3,data/numbers_1024.txt,106.7260,OMP_DFT_polar.exe
2,3,data/numbers_1024.txt,113.6586,OMP_DFT_polar.exe
3,3,data/numbers_1024.txt,88.8498,OMP_DFT_polar.exe
4,3,data/numbers_1024.txt,124.2212,OMP_DFT_polar.exe
5,3,data/numbers_1024.txt,107.1611,OMP_DFT_polar.exe
6,3,data/numbers_1024.txt,91.7025,OMP_DFT_polar.exe
7,3,data/numbers_1024.txt,85.4169,OMP_DFT_polar.exe
8,3,data/numbers_1024.txt,82.1118,OMP_DFT_polar.exe
