Numero Thread,File di Input,Media Tempo di Esecuzione (ms),Eseguibile
1,data/numbers_1024.txt,151.1128,OMP_DFT_polar.exe
1,data/numbers_1024.txt,43.0966,OMP_DFT_NOpolar.exe
2,data/numbers_1024.txt,128.0883,OMP_DFT_polar.exe
2,data/numbers_1024.txt,46.0312,OMP_DFT_NOpolar.exe
3,data/numbers_1024.txt,95.7851,OMP_DFT_polar.exe
3,data/numbers_1024.txt,35.6793,OMP_DFT_NOpolar.exe
4,data/numbers_1024.txt,72.6153,OMP_DFT_polar.exe
4,data/numbers_1024.txt,32.6974,OMP_DFT_NOpolar.exe
5,data/numbers_1024.txt,65.9558,OMP_DFT_polar.exe
5,data/numbers_1024.txt,31.7224,OMP_DFT_NOpolar.exe
6,data/numbers_1024.txt,66.7985,OMP_DFT_polar.exe
6,data/numbers_1024.txt,33.0381,OMP_DFT_NOpolar.exe
7,data/numbers_1024.txt,70.9455,OMP_DFT_polar.exe
7,data/numbers_1024.txt,34.1561,OMP_DFT_NOpolar.exe
8,data/numbers_1024.txt,68.6353,OMP_DFT_polar.exe
8,data/numbers_1024.txt,32.9425,OMP_DFT_NOpolar.exe
9,data/numbers_1024.txt,74.0428,OMP_DFT_polar.exe
9,data/numbers_1024.txt,31.8054,OMP_DFT_NOpolar.exe
10,data/numbers_1024.txt,70.3336,OMP_DFT_polar.exe
10,data/numbers_1024.txt,32.0670,OMP_DFT_NOpolar.exe
11,data/numbers_1024.txt,69.0541,OMP_DFT_polar.exe
11,data/numbers_1024.txt,32.9882,OMP_DFT_NOpolar.exe
12,data/numbers_1024.txt,66.5776,OMP_DFT_polar.exe
12,data/numbers_1024.txt,33.9365,OMP_DFT_NOpolar.exe
13,data/numbers_1024.txt,64.7273,OMP_DFT_polar.exe
13,data/numbers_1024.txt,30.6068,OMP_DFT_NOpolar.exe
14,data/numbers_1024.txt,66.8815,OMP_DFT_polar.exe
14,data/numbers_1024.txt,32.9371,OMP_DFT_NOpolar.exe
15,data/numbers_1024.txt,70.1089,OMP_DFT_polar.exe
15,data/numbers_1024.txt,32.9033,OMP_DFT_NOpolar.exe
16,data/numbers_1024.txt,66.5664,OMP_DFT_polar.exe
16,data/numbers_1024.txt,32.3241,OMP_DFT_NOpolar.exe
17,data/numbers_1024.txt,68.2048,OMP_DFT_polar.exe
17,data/numbers_1024.txt,31.8532,OMP_DFT_NOpolar.exe
18,data/numbers_1024.txt,64.6695,OMP_DFT_polar.exe
18,data/numbers_1024.txt,31.7103,OMP_DFT_NOpolar.exe
19,data/numbers_1024.txt,65.0259,OMP_DFT_polar.exe
19,data/numbers_1024.txt,32.8133,OMP_DFT_NOpolar.exe
20,data/numbers_1024.txt,60.9843,OMP_DFT_polar.exe
20,data/numbers_1024.txt,35.0304,OMP_DFT_NOpolar.exe
1,data/numbers_16384.txt,30850.8557,OMP_DFT_polar.exe
1,data/numbers_16384.txt,3685.0557,OMP_DFT_NOpolar.exe
2,data/numbers_16384.txt,19731.4754,OMP_DFT_polar.exe
2,data/numbers_16384.txt,2038.6421,OMP_DFT_NOpolar.exe
3,data/numbers_16384.txt,14796.9089,OMP_DFT_polar.exe
3,data/numbers_16384.txt,1755.1037,OMP_DFT_NOpolar.exe
4,data/numbers_16384.txt,14309.7818,OMP_DFT_polar.exe
4,data/numbers_16384.txt,1926.9346,OMP_DFT_NOpolar.exe
5,data/numbers_16384.txt,13244.8368,OMP_DFT_polar.exe
5,data/numbers_16384.txt,1260.2732,OMP_DFT_NOpolar.exe
6,data/numbers_16384.txt,12039.4323,OMP_DFT_polar.exe
6,data/numbers_16384.txt,1074.9629,OMP_DFT_NOpolar.exe
7,data/numbers_16384.txt,12371.1186,OMP_DFT_polar.exe
7,data/numbers_16384.txt,1130.8163,OMP_DFT_NOpolar.exe
8,data/numbers_16384.txt,13942.3509,OMP_DFT_polar.exe
8,data/numbers_16384.txt,775.3395,OMP_DFT_NOpolar.exe
9,data/numbers_16384.txt,12139.9248,OMP_DFT_polar.exe
9,data/numbers_16384.txt,981.4554,OMP_DFT_NOpolar.exe
10,data/numbers_16384.txt,12421.3581,OMP_DFT_polar.exe
10,data/numbers_16384.txt,911.4366,OMP_DFT_NOpolar.exe
