Num Execution,Threads per Block,Input File,Run,Execution Time (ms),Kernel Time (ms),Transfer Time (ms),Executable
1,32,numbers_2097152.txt,1,36.6423,26.0111,10.6312,CUDA_fft_v01.exe
1,32,numbers_2097152.txt,2,35.8427,25.299899999999997,10.5427,CUDA_fft_v01.exe
1,32,numbers_2097152.txt,3,35.8176,25.2818,10.535699999999999,CUDA_fft_v01.exe
1,32,numbers_2097152.txt,4,35.7867,25.2333,10.5534,CUDA_fft_v01.exe
1,32,numbers_2097152.txt,5,35.9308,25.2571,10.6737,CUDA_fft_v01.exe
1,32,numbers_2097152.txt,6,31.1464,19.980900000000002,11.1655,CUDA_fft_v01.exe
1,32,numbers_2097152.txt,7,30.2745,19.6874,10.5871,CUDA_fft_v01.exe
1,32,numbers_2097152.txt,8,30.7142,19.7125,11.0017,CUDA_fft_v01.exe
1,32,numbers_2097152.txt,9,30.664,19.7013,10.9627,CUDA_fft_v01.exe
1,32,numbers_2097152.txt,10,30.3372,19.7652,10.5719,CUDA_fft_v01.exe
2,128,numbers_2097152.txt,1,37.2766,26.255100000000002,11.0215,CUDA_fft_v01.exe
2,128,numbers_2097152.txt,2,36.349,25.7065,10.6425,CUDA_fft_v01.exe
2,128,numbers_2097152.txt,3,35.9506,25.4089,10.5417,CUDA_fft_v01.exe
2,128,numbers_2097152.txt,4,35.9573,25.403,10.554300000000001,CUDA_fft_v01.exe
2,128,numbers_2097152.txt,5,34.8463,24.289,10.5574,CUDA_fft_v01.exe
2,128,numbers_2097152.txt,6,30.4113,19.889499999999998,10.5219,CUDA_fft_v01.exe
2,128,numbers_2097152.txt,7,30.5343,19.9812,10.553,CUDA_fft_v01.exe
2,128,numbers_2097152.txt,8,30.3602,19.815099999999997,10.545100000000001,CUDA_fft_v01.exe
2,128,numbers_2097152.txt,9,30.5085,19.9816,10.5269,CUDA_fft_v01.exe
2,128,numbers_2097152.txt,10,30.4916,19.860100000000003,10.6314,CUDA_fft_v01.exe
3,256,numbers_2097152.txt,1,36.7259,26.1113,10.6145,CUDA_fft_v01.exe
3,256,numbers_2097152.txt,2,35.8156,25.2668,10.5488,CUDA_fft_v01.exe
3,256,numbers_2097152.txt,3,35.7738,25.2281,10.5458,CUDA_fft_v01.exe
3,256,numbers_2097152.txt,4,35.8844,25.3263,10.5581,CUDA_fft_v01.exe
3,256,numbers_2097152.txt,5,39.8162,26.487299999999998,13.329,CUDA_fft_v01.exe
3,256,numbers_2097152.txt,6,33.8368,20.6803,13.1565,CUDA_fft_v01.exe
3,256,numbers_2097152.txt,7,32.9193,20.6212,12.298100000000002,CUDA_fft_v01.exe
3,256,numbers_2097152.txt,8,32.7314,20.8154,11.916,CUDA_fft_v01.exe
3,256,numbers_2097152.txt,9,33.7361,20.8653,12.8708,CUDA_fft_v01.exe
3,256,numbers_2097152.txt,10,33.8846,21.5062,12.3783,CUDA_fft_v01.exe
4,512,numbers_2097152.txt,1,36.6319,26.0902,10.5417,CUDA_fft_v01.exe
4,512,numbers_2097152.txt,2,35.874,25.325000000000003,10.549,CUDA_fft_v01.exe
4,512,numbers_2097152.txt,3,35.8715,25.290599999999998,10.5808,CUDA_fft_v01.exe
4,512,numbers_2097152.txt,4,35.8697,25.2915,10.578199999999999,CUDA_fft_v01.exe
4,512,numbers_2097152.txt,5,35.1824,24.6038,10.5785,CUDA_fft_v01.exe
4,512,numbers_2097152.txt,6,30.5811,19.7809,10.8002,CUDA_fft_v01.exe
4,512,numbers_2097152.txt,7,30.6093,19.8021,10.8072,CUDA_fft_v01.exe
4,512,numbers_2097152.txt,8,31.0596,20.3415,10.7181,CUDA_fft_v01.exe
