Numero Thread,File di Input,Tempo di Esecuzione (s),Eseguibile
1,data/numbers_1000.txt,0.1251,fft_og.exe
2,data/numbers_1000.txt,0.0525,fft_og.exe
3,data/numbers_1000.txt,0.0500,fft_og.exe
4,data/numbers_1000.txt,0.0489,fft_og.exe
5,data/numbers_1000.txt,0.0501,fft_og.exe
6,data/numbers_1000.txt,0.0423,fft_og.exe
7,data/numbers_1000.txt,0.0485,fft_og.exe
8,data/numbers_1000.txt,0.0477,fft_og.exe
9,data/numbers_1000.txt,0.0442,fft_og.exe
10,data/numbers_1000.txt,0.0450,fft_og.exe
11,data/numbers_1000.txt,0.0475,fft_og.exe
12,data/numbers_1000.txt,0.0488,fft_og.exe
1,data/numbers_10000.txt,4.7312,fft_og.exe
2,data/numbers_10000.txt,2.1603,fft_og.exe
3,data/numbers_10000.txt,1.5808,fft_og.exe
4,data/numbers_10000.txt,1.2931,fft_og.exe
5,data/numbers_10000.txt,1.0582,fft_og.exe
6,data/numbers_10000.txt,0.9306,fft_og.exe
7,data/numbers_10000.txt,0.8606,fft_og.exe
8,data/numbers_10000.txt,0.8173,fft_og.exe
9,data/numbers_10000.txt,0.7087,fft_og.exe
10,data/numbers_10000.txt,0.6867,fft_og.exe
11,data/numbers_10000.txt,0.6585,fft_og.exe
12,data/numbers_10000.txt,0.7105,fft_og.exe
1,data/numbers_100000.txt,631.1586,fft_og.exe
2,data/numbers_100000.txt,380.3669,fft_og.exe
3,data/numbers_100000.txt,257.6828,fft_og.exe
4,data/numbers_100000.txt,199.2720,fft_og.exe
5,data/numbers_100000.txt,160.6654,fft_og.exe
6,data/numbers_100000.txt,136.5080,fft_og.exe
7,data/numbers_100000.txt,117.3678,fft_og.exe
8,data/numbers_100000.txt,104.1503,fft_og.exe
9,data/numbers_100000.txt,92.6034,fft_og.exe
10,data/numbers_100000.txt,84.5975,fft_og.exe
11,data/numbers_100000.txt,76.7442,fft_og.exe
12,data/numbers_100000.txt,70.7490,fft_og.exe
